claim_id,age,vehicle_age,claim_amount,accident_type,previous_claims,police_report,witness_present,garage_type,days_to_claim,fraud
CLM1195,61,1,389433,Collision,0,1,1,Authorized,2,1
CLM1196,27,4,461651,Theft,4,1,1,Local,23,1
CLM1197,21,12,372112,Collision,1,0,0,Authorized,32,1
CLM1198,37,5,213282,Collision,1,0,0,Local,33,1
CLM1199,66,11,187689,Collision,5,1,0,Authorized,25,0
CLM1200,24,11,100170,Natural Disaster,3,0,0,Authorized,51,0
CLM1201,21,0,374461,Collision,2,0,0,Local,56,0
CLM1202,70,8,138924,Collision,1,1,0,Authorized,26,1
CLM1203,65,13,180402,Collision,0,1,0,Authorized,0,0
CLM1204,42,9,441507,Natural Disaster,3,0,0,Authorized,4,0
CLM1205,46,0,499936,Theft,1,1,1,Authorized,59,1
CLM1206,70,15,394060,Theft,0,0,1,Local,53,1
CLM1207,28,4,432021,Natural Disaster,5,1,1,Local,23,0
CLM1208,28,4,346261,Natural Disaster,3,0,1,Authorized,40,1
CLM1209,51,2,288468,Collision,2,1,0,Local,46,1
CLM1210,18,2,395731,Fire,1,1,1,Authorized,15,0
CLM1211,52,5,5808,Collision,1,0,0,Authorized,19,0
CLM1212,21,2,435466,Collision,4,1,0,Local,15,1
CLM1213,52,6,253556,Natural Disaster,4,1,1,Authorized,50,0
CLM1214,42,5,405378,Fire,5,1,1,Local,34,1
CLM1215,22,5,32256,Fire,1,0,0,Authorized,29,1
CLM1216,62,5,432677,Collision,3,0,1,Authorized,12,1
CLM1217,55,10,336300,Fire,1,1,1,Authorized,17,0
CLM1218,19,15,495345,Theft,0,1,0,Local,38,0
CLM1219,69,11,109403,Collision,2,1,1,Local,58,0
CLM1220,69,10,286048,Theft,1,1,0,Authorized,25,0
CLM1221,67,9,419372,Natural Disaster,0,1,1,Authorized,19,0
CLM1222,68,6,238082,Natural Disaster,5,1,0,Local,5,0
CLM1223,30,11,402107,Collision,5,1,0,Authorized,31,0
CLM1224,28,9,178436,Natural Disaster,2,0,0,Authorized,60,1
CLM1225,23,11,55434,Collision,4,1,1,Authorized,22,1
CLM1226,37,13,343435,Natural Disaster,5,1,1,Authorized,38,1
CLM1227,24,6,353631,Collision,2,1,0,Local,48,1
CLM1228,39,8,185824,Natural Disaster,1,1,1,Authorized,5,0
CLM1229,61,4,290946,Collision,1,1,1,Local,46,1
CLM1230,58,8,364641,Natural Disaster,3,1,1,Local,55,1
CLM1231,54,2,2758,Fire,5,1,0,Authorized,33,1
CLM1232,44,1,452905,Natural Disaster,5,0,1,Authorized,3,1
CLM1233,21,13,185914,Fire,5,0,0,Local,3,1
CLM1234,50,1,98516,Fire,1,1,0,Local,54,1
CLM1235,29,8,38804,Collision,4,1,0,Local,19,0
CLM1236,29,1,32470,Collision,2,1,1,Authorized,24,0
CLM1237,64,1,278772,Fire,1,0,0,Authorized,51,0
CLM1238,63,8,217590,Natural Disaster,5,0,0,Authorized,35,1
CLM1239,34,13,283458,Theft,5,0,1,Local,27,0
CLM1240,64,11,200348,Theft,0,1,0,Authorized,35,1
CLM1241,65,13,382836,Collision,5,0,1,Local,28,0
CLM1242,35,10,92625,Natural Disaster,5,0,0,Local,29,0
CLM1243,59,15,453054,Collision,5,0,0,Local,32,0
CLM1244,37,5,372801,Natural Disaster,2,1,1,Authorized,14,1
CLM1245,41,0,280301,Collision,5,0,0,Local,8,1
CLM1246,37,7,175992,Natural Disaster,3,1,1,Authorized,18,1
CLM1247,32,11,275939,Theft,4,1,0,Authorized,24,1
CLM1248,42,3,484606,Natural Disaster,0,0,1,Authorized,13,0
CLM1249,57,14,217967,Fire,1,1,1,Authorized,15,1
CLM1250,18,14,269751,Collision,2,1,0,Local,18,0
CLM1251,59,12,443229,Natural Disaster,1,0,0,Authorized,40,0
CLM1252,55,4,404474,Collision,3,0,0,Authorized,20,0
CLM1253,21,6,212763,Theft,0,1,1,Authorized,49,0
CLM1254,34,15,156619,Fire,3,1,1,Local,57,0
CLM1255,21,7,167203,Theft,0,0,1,Local,55,1
CLM1256,33,6,202785,Fire,3,0,1,Authorized,49,0
CLM1257,60,3,298995,Natural Disaster,2,0,1,Local,38,0
CLM1258,63,15,211396,Collision,5,1,0,Local,21,0
CLM1259,54,5,61178,Natural Disaster,3,0,1,Local,47,1
CLM1260,29,8,251601,Fire,4,1,1,Local,17,1
CLM1261,60,7,335613,Theft,5,1,0,Authorized,27,0
CLM1262,45,13,220184,Natural Disaster,4,0,1,Local,14,1
CLM1263,36,5,239129,Theft,0,0,0,Local,53,0
CLM1264,27,13,220871,Theft,1,1,0,Authorized,50,1
CLM1265,27,15,456508,Collision,4,0,0,Authorized,3,0
CLM1266,33,2,183491,Theft,1,1,1,Authorized,49,0
CLM1267,43,9,110679,Collision,4,1,0,Authorized,8,0
CLM1268,61,4,67100,Collision,4,0,0,Local,35,0
CLM1269,66,1,168870,Natural Disaster,5,1,1,Local,44,0
CLM1270,47,4,436185,Collision,0,0,1,Local,42,0
CLM1271,30,4,176388,Fire,4,1,0,Local,25,0
CLM1272,45,15,410580,Fire,5,1,0,Authorized,29,0
CLM1273,46,11,383301,Theft,1,0,1,Authorized,33,1
CLM1274,30,10,71144,Collision,4,0,0,Local,42,0
CLM1275,42,2,8903,Fire,2,0,0,Local,56,1
CLM1276,19,4,215727,Fire,3,1,1,Local,12,1
CLM1277,64,2,390627,Collision,0,1,0,Local,25,1
CLM1278,42,10,389095,Natural Disaster,4,0,1,Authorized,17,1
CLM1279,64,11,483634,Collision,0,0,0,Local,56,0
CLM1280,68,14,69571,Collision,0,1,1,Local,13,1
CLM1281,38,9,222246,Fire,3,0,0,Authorized,32,0
CLM1282,41,6,362190,Fire,0,1,1,Authorized,50,0
CLM1283,26,14,91092,Theft,1,1,1,Authorized,56,0
CLM1284,57,13,205321,Natural Disaster,3,0,0,Local,28,1
CLM1285,53,3,17382,Fire,5,0,1,Authorized,30,0
CLM1286,52,4,76549,Natural Disaster,1,0,1,Local,18,0
CLM1287,39,3,433158,Fire,0,1,1,Authorized,55,0
CLM1288,54,10,117498,Theft,4,1,0,Authorized,50,1
CLM1289,64,15,6113,Natural Disaster,3,0,1,Local,22,0
CLM1290,37,8,11215,Collision,3,0,1,Authorized,40,1
CLM1291,63,15,198239,Fire,1,1,0,Authorized,37,0
CLM1292,25,13,401234,Natural Disaster,0,0,1,Local,46,0
CLM1293,23,3,393682,Theft,2,1,0,Local,19,1
CLM1294,54,11,169190,Natural Disaster,2,0,1,Local,25,1
CLM1295,20,6,135432,Natural Disaster,1,1,1,Local,17,0
CLM1296,22,9,166208,Fire,4,0,0,Authorized,42,1
CLM1297,32,8,382706,Theft,3,1,1,Local,18,0
CLM1298,69,1,483238,Fire,3,1,0,Authorized,51,0
CLM1299,24,6,450451,Fire,4,1,1,Local,35,0
CLM1300,30,15,422084,Theft,1,1,0,Authorized,53,1
CLM1301,39,5,383763,Collision,4,0,0,Authorized,37,1
CLM1302,67,10,119542,Fire,1,1,0,Authorized,60,0
CLM1303,47,8,393477,Collision,2,1,1,Local,19,1
CLM1304,26,11,255137,Natural Disaster,3,0,1,Authorized,18,1
CLM1305,70,0,401805,Theft,3,1,1,Local,40,0
CLM1306,30,12,305278,Fire,0,1,0,Local,57,1
CLM1307,30,12,349463,Collision,4,0,1,Authorized,43,0
CLM1308,22,15,396115,Fire,2,0,1,Authorized,5,1
CLM1309,27,6,430650,Fire,3,1,0,Authorized,58,1
CLM1310,58,11,102451,Theft,1,1,1,Local,13,1
CLM1311,64,1,447967,Fire,1,1,0,Authorized,36,0
CLM1312,60,10,329373,Natural Disaster,4,1,1,Authorized,54,0
CLM1313,48,8,299793,Collision,3,1,1,Local,45,1
CLM1314,37,15,127319,Fire,0,0,0,Local,28,0
CLM1315,68,6,149438,Natural Disaster,3,1,1,Authorized,49,1
CLM1316,70,0,100386,Fire,2,1,0,Authorized,16,0
CLM1317,27,11,198188,Fire,1,0,1,Local,7,0
CLM1318,63,0,409222,Theft,5,0,0,Local,21,1
CLM1319,59,15,61754,Collision,1,0,1,Authorized,5,1
CLM1320,30,1,179736,Collision,2,1,1,Local,33,1
CLM1321,39,0,11966,Collision,0,1,0,Authorized,7,0
CLM1322,22,12,138235,Collision,2,1,0,Authorized,18,1
CLM1323,53,11,249043,Natural Disaster,2,1,0,Local,58,0
CLM1324,26,11,436400,Collision,0,1,0,Local,12,0
CLM1325,38,13,396338,Collision,2,0,1,Local,45,0
CLM1326,40,14,481135,Natural Disaster,4,0,0,Authorized,24,1
CLM1327,52,6,217892,Collision,3,1,1,Local,57,0
CLM1328,21,1,173693,Fire,3,0,0,Local,44,1
CLM1329,35,2,335667,Natural Disaster,3,0,1,Authorized,33,0
CLM1330,23,15,177974,Collision,3,1,1,Authorized,28,0
CLM1331,48,7,421517,Collision,3,0,0,Authorized,22,1
CLM1332,34,14,322393,Natural Disaster,2,0,1,Authorized,8,0
CLM1333,25,14,41511,Collision,4,1,0,Authorized,40,0
CLM1334,22,2,80118,Collision,1,1,0,Local,4,1
CLM1335,54,6,187681,Theft,3,0,1,Authorized,28,0
CLM1336,34,3,321772,Fire,5,0,1,Local,43,0
CLM1337,32,11,356031,Theft,1,1,0,Local,44,0
CLM1338,22,2,332570,Fire,0,1,0,Local,24,1
CLM1339,46,11,387682,Fire,3,1,1,Authorized,7,0
CLM1340,51,10,340070,Natural Disaster,0,0,1,Local,12,0
CLM1341,33,13,300125,Fire,3,0,1,Local,46,1
CLM1342,20,7,374748,Collision,4,0,0,Local,1,0
CLM1343,68,7,331603,Natural Disaster,4,1,1,Local,34,0
CLM1344,27,15,280673,Natural Disaster,1,1,0,Local,33,1
CLM1345,50,10,438330,Fire,5,1,0,Authorized,9,0
CLM1346,32,5,447167,Natural Disaster,5,0,1,Local,46,1
CLM1347,58,9,468440,Natural Disaster,3,1,0,Authorized,33,0
CLM1348,37,5,347165,Collision,2,0,1,Local,45,1
CLM1349,21,2,434953,Fire,0,1,0,Local,26,0
CLM1350,43,8,175236,Theft,2,0,0,Local,32,1
CLM1351,53,8,30086,Theft,5,1,0,Local,41,1
CLM1352,61,12,258556,Natural Disaster,2,0,1,Authorized,56,1
CLM1353,27,2,284826,Collision,2,1,0,Local,17,0
CLM1354,38,10,403153,Theft,2,1,0,Local,39,0
CLM1355,70,8,2340,Fire,1,1,0,Local,7,1
CLM1356,52,14,231689,Fire,4,0,0,Local,19,0
CLM1357,42,13,72573,Theft,1,1,0,Authorized,25,1
CLM1358,41,2,451623,Collision,4,1,1,Local,59,1
CLM1359,34,15,206819,Fire,0,0,1,Local,52,1
CLM1360,50,11,28748,Natural Disaster,1,1,1,Local,53,1
CLM1361,21,6,387304,Natural Disaster,3,0,1,Authorized,16,0
CLM1362,61,4,276001,Collision,0,0,1,Local,51,1
CLM1363,54,4,231588,Theft,1,0,1,Authorized,40,1
CLM1364,38,0,471217,Collision,0,1,0,Authorized,2,0
CLM1365,30,2,104479,Theft,2,1,0,Local,42,1
CLM1366,40,11,105338,Fire,4,0,0,Authorized,43,0
CLM1367,21,5,496045,Collision,2,1,0,Local,45,1
CLM1368,28,4,159089,Fire,4,0,0,Authorized,1,0
CLM1369,41,7,498335,Theft,5,0,1,Authorized,38,0
CLM1370,53,8,116537,Collision,3,0,1,Authorized,53,1
CLM1371,67,13,23958,Natural Disaster,1,1,1,Local,30,1
CLM1372,44,15,264475,Fire,3,1,0,Local,18,0
CLM1373,53,6,118287,Theft,3,0,0,Local,13,0
CLM1374,66,0,17296,Fire,2,0,1,Authorized,58,1
CLM1375,45,15,176156,Fire,2,0,1,Authorized,51,0
CLM1376,31,7,386420,Theft,3,1,0,Authorized,44,0
CLM1377,22,2,474554,Natural Disaster,2,0,1,Authorized,36,1
CLM1378,40,10,172996,Natural Disaster,3,0,0,Local,26,1
CLM1379,55,4,432919,Natural Disaster,2,1,0,Authorized,6,0
CLM1380,53,6,203938,Collision,1,0,1,Local,48,1
CLM1381,42,8,302515,Collision,2,0,1,Authorized,31,1
CLM1382,22,9,491218,Collision,0,1,0,Authorized,36,0
CLM1383,68,10,206241,Theft,4,1,1,Local,33,0
CLM1384,60,13,240560,Natural Disaster,2,1,1,Local,42,0
CLM1385,26,7,22325,Natural Disaster,3,0,0,Local,1,0
CLM1386,60,4,438635,Theft,0,0,0,Local,44,0
CLM1387,60,10,55315,Fire,5,0,0,Local,24,1
CLM1388,56,13,484485,Fire,1,0,0,Local,23,0
CLM1389,32,9,21591,Fire,4,0,0,Local,3,0
CLM1390,23,4,327232,Fire,5,1,1,Local,49,1
CLM1391,51,14,243954,Theft,1,0,1,Authorized,27,0
CLM1392,34,11,330557,Fire,0,1,0,Local,15,1
CLM1393,25,4,288708,Natural Disaster,1,0,1,Authorized,34,0
CLM1394,29,8,483352,Fire,3,0,1,Authorized,2,1
CLM1395,23,1,150572,Natural Disaster,1,0,0,Local,15,0
CLM1396,18,1,99227,Theft,2,1,0,Authorized,55,1
CLM1397,61,11,203175,Collision,4,0,1,Local,32,0
CLM1398,27,4,282223,Collision,4,0,0,Local,21,1
CLM1399,32,13,442576,Fire,5,1,0,Local,8,0
CLM1400,53,12,173297,Collision,5,0,0,Local,6,1
CLM1401,62,7,338314,Collision,3,0,1,Local,15,1
CLM1402,22,10,384860,Fire,5,0,0,Authorized,45,1
CLM1403,28,8,313794,Theft,1,1,1,Local,28,0
CLM1404,46,11,415867,Collision,5,0,0,Local,59,0
CLM1405,45,15,368264,Fire,1,1,0,Local,4,1
CLM1406,39,11,237387,Theft,1,0,1,Authorized,32,0
CLM1407,41,1,329647,Collision,4,0,1,Authorized,42,1
CLM1408,52,15,450577,Collision,4,0,1,Local,19,0
CLM1409,35,6,445947,Collision,0,1,0,Authorized,35,0
CLM1410,48,5,236369,Natural Disaster,2,0,0,Authorized,30,1
CLM1411,63,9,299285,Collision,4,0,1,Authorized,9,1
CLM1412,27,12,88026,Theft,4,0,0,Authorized,1,0
CLM1413,45,14,404401,Natural Disaster,2,1,1,Authorized,2,0
CLM1414,37,13,395518,Natural Disaster,1,1,0,Local,43,0
CLM1415,31,11,84353,Natural Disaster,1,1,0,Local,48,0
CLM1416,27,3,353871,Collision,2,0,1,Local,53,0
CLM1417,57,12,271905,Fire,1,0,0,Local,2,0
CLM1418,64,8,383749,Fire,1,0,1,Authorized,8,1
CLM1419,48,1,388423,Collision,5,1,1,Local,34,0
CLM1420,64,11,233283,Natural Disaster,4,1,1,Authorized,6,0
CLM1421,32,10,101728,Natural Disaster,1,1,0,Local,25,0
CLM1422,21,14,42742,Theft,0,1,0,Authorized,51,0
CLM1423,52,0,412152,Natural Disaster,2,0,0,Local,40,1
CLM1424,27,11,29469,Collision,5,1,1,Authorized,37,0
CLM1425,57,0,294140,Theft,3,0,0,Authorized,1,0
CLM1426,67,5,376530,Collision,4,0,1,Authorized,15,1
CLM1427,56,14,252505,Fire,4,0,1,Authorized,46,0
CLM1428,54,12,234662,Natural Disaster,1,0,1,Local,46,1
CLM1429,70,9,359746,Collision,4,0,0,Local,19,0
CLM1430,58,14,199815,Collision,0,1,0,Local,47,0
CLM1431,24,10,319688,Natural Disaster,2,1,0,Authorized,20,1
CLM1432,29,9,133680,Fire,1,1,1,Authorized,42,1
CLM1433,34,10,320495,Collision,3,1,0,Local,16,0
CLM1434,54,1,26709,Theft,1,0,0,Authorized,26,0
